ID,Dataset,Gender,ethnicity_census,Handedness,Age,AgeMonths,LCA_SEP,weighted_mean_track,weighted_mean_aim,weighted_mean_steer,ethnicity,ethnicity_3gp
1,PSY,Male,5,Left,8,106,Least dep and most educated,0.015876317,0.22661212,0.264386745,Asian/Asian British,Pakistani
2,SS,Male,5,Left,5,63,Least dep and most educated,-0.411402669,NA,-0.199322757,Asian/Asian British,Pakistani
3,PSY,Female,5,Right,8,107,Benefits but coping,0.440180551,0.461309863,0.286934769,Asian/Asian British,Pakistani
4,SS,Female,5,Right,5,63,Benefits but coping,0.120142666,-0.183706281,0.131946943,Asian/Asian British,Pakistani
5,PSY,Female,5,Right,8,101,Benefits but coping,-0.088836243,0.067816274,-0.279328283,Asian/Asian British,Pakistani
6,SS,Female,5,Right,5,65,Benefits but coping,-0.02995692,-0.627423141,0.121479057,Asian/Asian British,Pakistani
7,PSY,Male,5,Right,7,91,Employed no access to money,0.406240261,NA,0.046456257,Asian/Asian British,Pakistani
8,PSY,Male,5,Right,8,99,Employed no access to money,0.471109664,NA,-0.14831754,Asian/Asian British,Pakistani
9,PSY,Male,5,Right,7,95,Benefits but coping,0.12518859,0.371215489,0.149002474,Asian/Asian British,Pakistani
10,PSY,Male,5,Right,8,96,Employed not mat dep,0.447273532,0.117785311,0.256581981,Asian/Asian British,Pakistani
11,PSY,Male,5,Right,7,95,Benefits but coping,0.350301442,0.377974908,-0.182634123,Asian/Asian British,Pakistani
12,PSY,Female,6,Right,7,93,Least dep and most educated,0.340812276,0.034053859,0.026271714,Asian/Asian British,Other
13,PSY,Male,5,Right,7,91,Least dep and most educated,0.397480826,0.534169818,0.201336608,Asian/Asian British,Pakistani
14,SS,Male,5,Right,4,58,Least dep and most educated,-0.122055836,-0.610343443,-0.061205491,Asian/Asian British,Pakistani
15,PSY,Male,5,Right,8,103,Benefits but coping,0.209329272,0.285944174,-0.100480398,Asian/Asian British,Pakistani
16,SS,Male,5,Right,4,59,Benefits but coping,0.093277288,-1.434932099,-0.450208806,Asian/Asian British,Pakistani
17,PSY,Female,5,Right,9,108,Benefits but coping,0.408018565,0.158210924,0.230531303,Asian/Asian British,Pakistani
18,SS,Female,5,Right,5,64,Benefits but coping,-3.094852427,-1.058900153,-1.781606196,Asian/Asian British,Pakistani
19,PSY,Female,5,Right,7,92,Employed no access to money,-0.93970686,NA,-0.095753526,Asian/Asian British,Pakistani
20,SS,Female,5,Right,4,56,Employed no access to money,-1.092243369,NA,-0.434137992,Asian/Asian British,Pakistani
21,PSY,Female,5,Right,7,94,Least dep and most educated,-2.168077153,NA,-1.509063815,Asian/Asian British,Pakistani
22,PSY,Female,5,Left,9,113,Benefits but coping,0.332030544,-0.372573797,0.195027484,Asian/Asian British,Pakistani
23,SS,Female,5,Left,5,70,Benefits but coping,-0.230642589,NA,-1.612996694,Asian/Asian British,Pakistani
24,PSY,Male,5,Right,9,112,Benefits but coping,0.597949662,0.691736274,0.075587237,Asian/Asian British,Pakistani
25,SS,Male,5,Right,5,68,Benefits but coping,-1.051602037,-1.215983197,-0.932425396,Asian/Asian British,Pakistani
26,PSY,Male,5,Right,7,94,Most dep,0.741207075,0.050335411,0.079480024,Asian/Asian British,Pakistani
27,PSY,Male,5,Right,7,91,Benefits but coping,-0.726901269,-1.683368452,-0.189993327,Asian/Asian British,Pakistani
28,PSY,Female,5,Left,7,90,Benefits but coping,0.485801226,0.428175689,0.072899288,Asian/Asian British,Pakistani
29,PSY,Female,5,Right,7,93,Benefits but coping,0.389383816,0.254537312,-0.025336043,Asian/Asian British,Pakistani
30,PSY,Male,5,Right,9,108,Employed not mat dep,-0.252542904,0.681439107,-3.047160424,Asian/Asian British,Pakistani
